GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
EBNA1BP2	1.457	0.407	0.431	0.372	1.159	0.212	0	NoDiff
ECE1	0.127	0.757	0.784	0.718	1.095	0.131	0.372	NoDiff
ECE2	0.357	0.435	0.402	0.482	0.829	-0.271	0.216	NoDiff
ECHDC2	0.19	0.506	0.655	0.293	2.229	1.157	0.824	NoDiff
ECM1	0.004	10.3	10.471	10.055	1.03	0.043	0.764	NoDiff
ECT2	0.017	1.789	2.25	1.132	2.226	1.154	0.739	NoDiff
EDARADD	0.01	6.483	8.624	3.432	2.487	1.314	0.764	NoDiff
EDEM1	0.601	0.596	0.724	0.414	1.755	0.812	0.794	NoDiff
EDEM3	0.288	0.971	0.831	1.169	0.711	-0.492	0.392	ExcludedFromTesting
EDN2	0.002	16.823	10.016	26.527	0.426	-1.231	0.915	ExcludedFromTesting
EEF1B2	38.105	0.096	0.112	0.073	1.549	0.631	0.714	NoDiff
EEFSEC	0.142	0.098	0.107	0.085	1.278	0.354	0.709	NoDiff
EFCAB12	0.006	218.75	11.433	514.361	0.021	-5.603	0.965	GM18502+
EFCAB14	0.501	0.066	0.037	0.108	0.348	-1.522	0.819	NoDiff
EFCAB2	0.057	0.512	0.551	0.456	1.22	0.287	0.648	ExcludedFromTesting
EFCAB7	0.042	0.693	0.549	0.898	0.646	-0.631	0.779	NoDiff
EFHB	0.007	6.033	8.616	2.348	3.984	1.994	0.849	NoDiff
EFHD2	1.114	0.272	0.328	0.193	1.701	0.767	0.804	NoDiff
EFNA1	0.005	15.957	20.658	9.255	2.295	1.199	0.809	NoDiff
EFNA3	0.019	1.947	2.96	0.502	5.654	2.499	0.899	NoDiff
EFNA4	0.116	0.287	0.296	0.274	1.05	0.07	0.578	NoDiff
EFR3B	0.031	2.533	2.757	2.214	1.215	0.281	0.598	NoDiff
EGLN1	0.27	0.252	0.297	0.187	1.628	0.703	0.613	ExcludedFromTesting
EGOT	0.023	14.208	18.797	7.666	2.522	1.334	0.915	NoDiff
EGR4	0.011	331.401	401.609	231.291	1.772	0.825	0.658	NoDiff
EHBP1	0.105	0.653	1.044	0.096	10.883	3.444	0.995	GM12878+
EHD3	0.04	1.264	0.844	1.861	0.449	-1.156	0.744	ExcludedFromTesting
EHHADH	0.034	0.813	0.496	1.265	0.338	-1.567	0.794	ExcludedFromTesting
EIF1B	1.365	0.123	0.116	0.133	0.87	-0.201	0.116	NoDiff
EIF2A	2.526	0.16	0.186	0.122	1.516	0.601	0.533	NoDiff
EIF2AK2	1.344	0.223	0.238	0.201	1.168	0.224	0.05	NoDiff
EIF2AK3	0.139	1.014	0.616	1.581	0.374	-1.418	0.92	ExcludedFromTesting
EIF2B3	0.224	0.08	0.062	0.106	0.637	-0.651	0.724	NoDiff
EIF2B4	0.213	0.241	0.277	0.188	1.374	0.459	0.553	NoDiff
EIF2B5	0.28	0.046	0.056	0.032	1.966	0.976	0.824	NoDiff
EIF2D	0.886	0.097	0.11	0.078	1.423	0.509	0.472	NoDiff
EIF3I	4.593	0.073	0.08	0.063	1.243	0.314	0.075	NoDiff
EIF4A2	3.398	0.261	0.253	0.272	0.927	-0.109	0	NoDiff
EIF4E	1.155	0.112	0.107	0.12	0.91	-0.137	0.191	NoDiff
EIF4E2	1.452	0.052	0.066	0.032	2.074	1.052	0.769	NoDiff
EIF4E3	0.007	8.239	2.413	16.546	0.111	-3.177	0.92	ExcludedFromTesting
EIF4G1	0.742	0.202	0.211	0.19	1.127	0.173	0.111	NoDiff
EIF4G3	0.226	0.253	0.231	0.284	0.827	-0.275	0.447	NoDiff
EIF5A2	0.053	0.537	0.665	0.355	1.88	0.911	0.688	NoDiff
EIF5B	2.347	0.141	0.144	0.135	1.068	0.096	0.015	NoDiff
ELF3	0.01	49.621	63.203	30.256	2.319	1.214	0.709	ExcludedFromTesting
ELK4	0.256	0.15	0.182	0.104	1.806	0.852	0.688	NoDiff
ELMOD3	0.247	0.198	0.119	0.31	0.399	-1.325	0.854	NoDiff
ELOVL1	0.608	0.104	0.099	0.111	0.893	-0.162	0.432	NoDiff
ELOVL6	0.041	2.189	3.284	0.629	5.548	2.472	0.945	ExcludedFromTesting
ELP6	0.539	0.062	0.074	0.044	1.694	0.76	0.678	NoDiff
EMC1	0.101	0.151	0.122	0.193	0.552	-0.858	0.739	NoDiff
EMC3	0.864	0.061	0.079	0.037	2.256	1.174	0.744	NoDiff
EMILIN1	0.007	5.014	6.326	3.143	2.152	1.106	0.804	NoDiff
EML4	0.534	0.282	0.275	0.292	0.935	-0.097	0.111	NoDiff
EMX1	0.06	20.069	12.138	31.379	0.403	-1.312	0.94	ExcludedFromTesting
ENAM	0.016	4.368	1.102	9.024	0.098	-3.358	0.97	ExcludedFromTesting
ENO1	11.751	0.541	0.562	0.511	1.101	0.139	0	ExcludedFromTesting
ENO1-AS1	0.031	0.859	0.718	1.059	0.738	-0.438	0.648	NoDiff
ENOPH1	0.421	0.088	0.043	0.151	0.275	-1.864	0.899	NoDiff
ENSA	3.403	0.131	0.164	0.084	1.936	0.953	0.995	GM12878+
ENTPD3-AS1	0.113	0.286	0.394	0.132	3.074	1.62	0.859	NoDiff
EOGT	0.02	0.824	1.081	0.457	2.539	1.344	0.869	NoDiff
EPAS1	0.001	15.559	14.966	16.406	0.762	-0.392	0.774	ExcludedFromTesting
EPB41	0.174	0.275	0.264	0.292	0.948	-0.076	0.668	ExcludedFromTesting
EPB41L5	0.035	0.718	0.673	0.782	0.879	-0.186	0.704	NoDiff
EPC2	0.093	0.211	0.106	0.359	0.332	-1.592	0.809	NoDiff
EPCAM	0.005	14.133	19.794	6.062	3.427	1.777	0.789	NoDiff
EPHA4	0.004	21.229	18.643	24.915	0.625	-0.679	0.849	ExcludedFromTesting
EPHB1	0.055	6.675	4.579	9.664	0.496	-1.012	0.864	ExcludedFromTesting
EPHB2	0.007	5.06	3.433	7.379	0.556	-0.848	0.688	ExcludedFromTesting
EPHX1	0.03	1.037	1.134	0.899	1.16	0.214	0.663	NoDiff
EPM2AIP1	0.374	0.496	0.5	0.489	1.031	0.044	0.075	NoDiff
EPRS	1.098	0.182	0.217	0.133	1.642	0.715	0.688	NoDiff
EPS15	0.533	0.208	0.281	0.103	2.746	1.457	0.96	GM12878+
EPT1	0.047	0.362	0.392	0.319	1.032	0.045	0.709	NoDiff
ERCC3	0.179	0.137	0.145	0.126	1.062	0.087	0.678	NoDiff
EREG	0.004	314.191	62.389	673.232	0.09	-3.466	0.975	GM18502+
ERI3	0.52	0.094	0.123	0.051	2.523	1.335	0.834	NoDiff
ERICH3	0.006	68.848	22.361	135.133	0.161	-2.635	0.95	NoDiff
ERICH6-AS1	0.081	0.817	0.265	1.604	0.164	-2.609	0.98	ExcludedFromTesting
ERLEC1	1.987	0.765	0.717	0.834	0.848	-0.238	0.01	ExcludedFromTesting
ERMAP	0.037	0.578	0.495	0.696	0.724	-0.465	0.744	NoDiff
ERMN	0.017	1.33	1.16	1.571	0.777	-0.364	0.814	NoDiff
ERO1B	0.287	0.71	0.648	0.797	0.795	-0.332	0.201	NoDiff
ERRFI1	0.019	2.948	3.314	2.426	1.391	0.476	0.643	NoDiff
ESPN	0.001	19.402	14.248	26.75	0.688	-0.539	0.744	ExcludedFromTesting
ESPNL	0.007	4.962	7.893	0.781	9.157	3.195	0.884	ExcludedFromTesting
ETAA1	0.102	0.377	0.332	0.441	0.686	-0.544	0.653	NoDiff
ETV3	0.044	1.058	0.973	1.179	0.903	-0.148	0.563	NoDiff
ETV3L	0.006	17.92	10.411	28.628	0.381	-1.393	0.804	NoDiff
ETV5	0.043	4.907	6.679	2.381	2.742	1.455	0.92	ExcludedFromTesting
EVA1A	0.002	11.912	11.129	13.029	0.808	-0.307	0.764	ExcludedFromTesting
EVA1B	0.349	0.731	0.714	0.755	0.906	-0.142	0.09	NoDiff
EVC	0.006	5.437	4.628	6.589	0.674	-0.568	0.764	NoDiff
EVC2	0.014	3.887	4.717	2.703	1.932	0.95	0.729	NoDiff
EVI5	0.111	0.35	0.363	0.331	1.073	0.102	0.648	ExcludedFromTesting
EXO1	0.013	3.497	5.241	1.011	5.516	2.464	0.899	ExcludedFromTesting
EXO5	0.046	0.312	0.39	0.2	2.265	1.18	0.804	ExcludedFromTesting
EXOC1	0.165	0.337	0.41	0.233	1.797	0.845	0.714	NoDiff
EXOC6B	0.017	1.057	0.836	1.373	0.744	-0.426	0.739	NoDiff
EXOC8	0.042	0.537	0.672	0.344	1.967	0.976	0.839	NoDiff
EXOG	0.399	0.045	0.029	0.066	0.454	-1.139	0.779	NoDiff
EXOSC10	0.167	0.093	0.079	0.113	0.71	-0.494	0.698	NoDiff
EXOSC7	0.617	0.12	0.054	0.215	0.254	-1.98	0.99	GM18502+
EXTL2	0.133	0.417	0.443	0.379	1.168	0.224	0.578	NoDiff
EYA3	0.24	0.465	0.518	0.389	1.363	0.446	0.387	ExcludedFromTesting
F11R	0.096	0.677	0.597	0.791	0.755	-0.406	0.513	NoDiff
FAAH	0.007	6.033	8.056	3.149	2.334	1.223	0.744	NoDiff
FAAP20	2.004	0.074	0.096	0.043	2.159	1.111	0.95	NoDiff
FABP3	0.014	92.182	115.916	58.34	1.925	0.945	0.759	NoDiff
FAF1	0.181	0.33	0.446	0.164	2.846	1.509	0.799	NoDiff
FAHD2A	0.411	0.14	0.177	0.088	1.962	0.973	0.709	NoDiff
FAHD2B	0.175	0.401	0.383	0.427	0.912	-0.133	0.362	NoDiff
FAIM	0.212	0.876	0.903	0.838	1.062	0.087	0.101	NoDiff
FALEC	0.015	13.724	12.786	15.061	0.879	-0.186	0.543	NoDiff
FAM102B	0.015	2.1	3.064	0.726	4.291	2.101	0.869	NoDiff
FAM114A1	0.056	2.559	0.751	5.137	0.138	-2.855	0.985	ExcludedFromTesting
FAM117B	0.038	0.734	0.928	0.458	2.091	1.064	0.754	NoDiff
FAM126B	0.204	0.296	0.294	0.298	1.045	0.064	0.482	NoDiff
FAM129A	0.344	0.838	0.865	0.799	1.075	0.105	0.06	ExcludedFromTesting
FAM131A	0.027	2.531	3.996	0.442	8.129	3.023	0.97	GM12878+
FAM132A	0.008	5.15	5.871	4.121	1.375	0.46	0.704	NoDiff
FAM134A	0.444	0.129	0.136	0.119	1.126	0.172	0.447	NoDiff
FAM136A	1.239	0.234	0.241	0.224	1.087	0.121	0.01	NoDiff
FAM13A	0.013	3.521	4.299	2.411	1.88	0.911	0.754	NoDiff
FAM13A-AS1	0.004	9.155	6.4	13.083	0.439	-1.189	0.824	NoDiff
FAM159A	0.061	2.832	3.661	1.65	2.085	1.06	0.764	NoDiff
FAM161A	0.082	1.457	1.855	0.89	1.976	0.983	0.769	ExcludedFromTesting
FAM162A	2.219	0.307	0.309	0.304	1.019	0.027	0	ExcludedFromTesting
FAM167B	0.02	2.894	3.903	1.455	2.338	1.226	0.829	ExcludedFromTesting
FAM168B	0.176	0.148	0.065	0.267	0.258	-1.957	0.915	NoDiff
FAM171B	0.013	2.963	3.826	1.732	2.408	1.268	0.844	NoDiff
FAM175A	0.185	0.356	0.364	0.345	1.055	0.077	0.462	NoDiff
FAM177B	0.003	29.546	36.415	19.751	2.088	1.062	0.829	NoDiff
FAM184B	0.006	20.1	9.724	34.894	0.289	-1.789	0.844	NoDiff
FAM189B	0.182	0.193	0.291	0.054	5.692	2.509	0.92	ExcludedFromTesting
FAM193A	0.108	0.265	0.259	0.273	1.072	0.101	0.709	NoDiff
FAM200B	0.426	0.157	0.158	0.155	1.024	0.034	0.382	NoDiff
FAM208A	0.206	0.3	0.375	0.192	1.957	0.968	0.678	NoDiff
FAM20B	0.061	0.251	0.237	0.273	0.874	-0.195	0.678	NoDiff
FAM212A	0.054	4.902	7.033	1.864	3.631	1.86	0.99	ExcludedFromTesting
FAM212B	0.034	3.608	2.586	5.066	0.481	-1.055	0.744	NoDiff
FAM212B-AS1	0.005	23.311	4.16	50.62	0.057	-4.138	0.965	GM18502+
FAM213B	0.082	0.615	0.604	0.632	0.93	-0.105	0.598	ExcludedFromTesting
FAM228B	0.149	0.322	0.477	0.101	4.482	2.164	0.93	NoDiff
FAM229A	0.018	1.396	1.735	0.912	1.92	0.941	0.769	NoDiff
FAM231D	0.033	0.467	0.49	0.434	1.1	0.137	0.714	NoDiff
FAM3D	0.002	35.223	47.765	17.341	3.065	1.616	0.859	NoDiff
FAM41C	0.037	0.599	0.876	0.204	4.358	2.124	0.884	ExcludedFromTesting
FAM43A	0.141	4.299	4.504	4.006	1.094	0.13	0.05	NoDiff
FAM46C	0.29	4.131	2.519	6.429	0.388	-1.368	0.995	ExcludedFromTesting
FAM49A	0.021	6.339	3.924	9.783	0.374	-1.419	0.809	NoDiff
FAM53A	0.009	7.607	11.653	1.838	7.205	2.849	0.92	NoDiff
FAM63A	0.057	0.828	1.162	0.352	3.016	1.592	0.869	NoDiff
FAM69A	0.143	0.803	0.502	1.231	0.407	-1.298	0.854	ExcludedFromTesting
FAM72A	0.04	1.011	1.071	0.925	1.253	0.325	0.749	NoDiff
FAM72B	0.009	10.609	17.33	1.027	14.619	3.87	0.99	GM12878+
FAM72C	0.007	3.788	4.112	3.325	1.199	0.262	0.719	NoDiff
FAM72D	0.011	2.376	2.134	2.721	0.865	-0.21	0.698	NoDiff
FAM73A	0.087	0.265	0.306	0.208	1.291	0.369	0.744	NoDiff
FAM76A	0.106	0.366	0.078	0.776	0.106	-3.242	0.98	GM18502+
FAM78B	0.021	3.34	3.212	3.524	0.9	-0.152	0.543	NoDiff
FAM89A	0.025	1.418	1.861	0.786	2.69	1.428	0.774	ExcludedFromTesting
FAM98A	0.326	0.13	0.166	0.078	2.058	1.041	0.739	NoDiff
FANCD2	0.074	1.021	1.043	0.991	1.038	0.053	0.442	NoDiff
FANCL	0.144	0.232	0.188	0.296	0.622	-0.685	0.668	NoDiff
FARP2	0.104	0.348	0.508	0.119	3.678	1.879	0.874	NoDiff
FARSB	0.314	0.376	0.376	0.375	0.992	-0.011	0.186	NoDiff
FASTKD1	0.197	0.304	0.395	0.174	2.23	1.157	0.739	NoDiff
FASTKD2	0.173	0.234	0.206	0.275	0.777	-0.364	0.638	NoDiff
FBLIM1	0.005	126.343	13.953	286.598	0.049	-4.338	0.975	GM18502+
FBLN2	0.006	624.172	14.804	1493.063	0.01	-6.596	1	GM18502+
FBXL2	0.005	8.241	11.997	2.886	4.254	2.089	0.874	ExcludedFromTesting
FBXL5	0.195	0.072	0.095	0.039	2.077	1.054	0.779	NoDiff
FBXO11	0.158	0.147	0.118	0.188	0.63	-0.667	0.693	NoDiff
FBXO2	0.019	3.586	2.998	4.425	0.701	-0.513	0.704	NoDiff
FBXO28	0.168	0.044	0.033	0.059	0.617	-0.698	0.799	NoDiff
FBXO36	0.019	0.873	0.811	0.961	0.922	-0.118	0.678	NoDiff
FBXO41	0.05	0.414	0.343	0.516	0.581	-0.785	0.769	NoDiff
FBXO42	0.132	0.137	0.164	0.099	1.892	0.92	0.874	NoDiff
FBXO44	0.122	0.605	0.504	0.749	0.67	-0.578	0.588	ExcludedFromTesting
FBXO45	0.062	0.393	0.36	0.44	0.789	-0.342	0.643	ExcludedFromTesting
FBXO48	0.036	0.837	0.496	1.323	0.395	-1.342	0.799	NoDiff
FBXO6	0.53	0.358	0.438	0.243	1.845	0.884	0.804	NoDiff
FCAMR	0.002	20.043	16.468	25.14	0.4	-1.324	0.869	ExcludedFromTesting
FCER1G	0.044	22.552	24.189	20.217	1.184	0.243	0.271	NoDiff
FCGR2A	0.063	16.101	5.865	30.697	0.195	-2.356	0.995	GM18502+
FCGR2B	0.89	0.537	0.618	0.422	1.478	0.563	0.467	NoDiff
FCGR3A	0.002	18.399	22.66	12.324	2.237	1.161	0.844	NoDiff
FCMR	1.97	0.791	0.791	0.792	1.001	0.001	0.005	NoDiff
FCRL2	0.003	15.23	14.36	16.47	1.051	0.072	0.799	NoDiff
FCRL3	0.003	122.704	13.285	278.724	0.044	-4.494	0.97	ExcludedFromTesting
FCRL4	0.052	22.225	26.481	16.156	1.646	0.719	0.658	NoDiff
FCRL5	0.24	5.746	3.464	8.999	0.385	-1.379	1	ExcludedFromTesting
FCRLA	3.16	0.505	0.514	0.493	1.033	0.047	0	NoDiff
FCRLB	0.11	0.729	0.882	0.511	1.767	0.822	0.648	ExcludedFromTesting
FDPS	2.972	0.408	0.279	0.592	0.47	-1.09	1	ExcludedFromTesting
FEZ2	0.384	0.111	0.091	0.139	0.657	-0.605	0.583	NoDiff
FGD5	0.004	218.932	300.736	102.289	1.565	0.647	0.894	NoDiff
FGD5-AS1	0.283	0.104	0.09	0.125	0.813	-0.299	0.603	NoDiff
FGFBP2	0.012	2348.372	2296.191	2422.776	0.902	-0.149	0.774	NoDiff
FGFRL1	0.004	10.023	10.819	8.888	1.258	0.331	0.844	NoDiff
FGGY	0.118	0.26	0.232	0.299	0.896	-0.158	0.714	NoDiff
FGR	0.776	0.91	0.944	0.862	1.092	0.127	0.005	NoDiff
FH	0.527	0.143	0.139	0.149	0.911	-0.134	0.317	NoDiff
FHIT	0.276	0.438	0.361	0.549	0.662	-0.596	0.543	NoDiff
FHL2	0.049	8.93	7.638	10.773	0.682	-0.552	0.482	ExcludedFromTesting
FHL3	0.217	0.882	1.133	0.523	2.192	1.132	0.935	ExcludedFromTesting
FILIP1L	0.033	4.627	3.459	6.291	0.546	-0.873	0.714	NoDiff
FIP1L1	0.481	0.09	0.089	0.092	0.976	-0.036	0.568	NoDiff
FKBP1B	0.015	4.538	6.997	1.031	6.617	2.726	0.96	GM12878+
FKBP7	0.06	0.578	0.834	0.214	3.702	1.888	0.849	NoDiff
FLAD1	0.38	0.121	0.035	0.244	0.147	-2.765	0.99	GM18502+
FLJ20021	0.136	1.158	1.375	0.849	1.628	0.703	0.598	ExcludedFromTesting
FLJ27354	0.051	0.949	0.697	1.308	0.519	-0.947	0.764	NoDiff
FLJ37453	0.066	0.173	0.146	0.212	0.585	-0.773	0.784	NoDiff
FLNB	0.086	0.816	0.819	0.811	0.954	-0.068	0.492	NoDiff
FLVCR1	0.148	0.315	0.454	0.118	3.624	1.858	0.869	NoDiff
FLVCR1-AS1	0.083	0.291	0.228	0.382	0.563	-0.83	0.759	NoDiff
FMNL2	0.026	2.965	4.299	1.062	3.995	1.998	0.92	ExcludedFromTesting
FMO4	0.018	1.776	2.399	0.889	2.568	1.361	0.814	NoDiff
FMO5	0.011	5.479	6.741	3.681	1.868	0.902	0.734	NoDiff
FN1	0.009	5.709	3.385	9.022	0.413	-1.276	0.854	ExcludedFromTesting
FNBP1L	0.003	92.601	144.285	18.906	5.942	2.571	0.899	NoDiff
FNDC3B	0.378	0.861	0.78	0.975	0.796	-0.329	0.161	ExcludedFromTesting
FO538757.2	0.166	0.13	0.174	0.067	2.199	1.137	0.754	NoDiff
FOSL2	0.01	7.868	9.994	4.836	2.328	1.219	0.784	NoDiff
FOXD2	0.002	11.813	13.475	9.443	1.199	0.262	0.824	ExcludedFromTesting
FOXD2-AS1	0.007	3.916	4.607	2.932	1.563	0.644	0.834	NoDiff
FOXD3-AS1	0.005	14.176	10.319	19.675	0.592	-0.756	0.734	NoDiff
FOXJ3	0.112	0.166	0.087	0.279	0.309	-1.696	0.869	NoDiff
FOXN2	0.101	0.241	0.343	0.096	3.432	1.779	0.844	NoDiff
FOXP1	0.042	15.758	20.716	8.69	2.37	1.245	0.915	NoDiff
FPGT	0.086	0.249	0.338	0.121	3.877	1.955	0.809	NoDiff
FPGT-TNNI3K	0.004	7.62	7.13	8.318	0.818	-0.29	0.769	NoDiff
FRMD4B	0.015	12.798	15.963	8.286	1.969	0.977	0.734	NoDiff
FRRS1	0.016	1.274	1.29	1.25	0.919	-0.122	0.824	NoDiff
FRYL	0.263	0.076	0.085	0.065	1.325	0.405	0.749	NoDiff
FSIP2-AS1	0.003	17.109	16.804	17.545	0.999	-0.002	0.724	NoDiff
FTCDNL1	0.053	0.672	0.87	0.389	2.262	1.178	0.719	NoDiff
FUBP1	0.485	0.17	0.167	0.175	0.963	-0.054	0.317	NoDiff
FUCA1	0.494	1.237	1.296	1.152	1.124	0.168	0.015	ExcludedFromTesting
FXR1	1.387	0.105	0.107	0.103	1.027	0.038	0.101	NoDiff
FYCO1	0.02	0.697	0.65	0.764	0.919	-0.122	0.668	NoDiff
FYTTD1	0.801	0.346	0.353	0.335	1.071	0.099	0.015	NoDiff
FZD5	0.003	18.863	10.364	30.981	0.285	-1.812	0.844	NoDiff
FZD7	0.004	9.803	9.396	10.383	0.9	-0.152	0.784	NoDiff
G0S2	0.032	449.095	521.384	346.019	1.573	0.653	0.558	NoDiff
G3BP2	0.634	0.11	0.133	0.076	1.711	0.775	0.648	NoDiff
GABPB2	0.126	0.414	0.531	0.247	2.046	1.033	0.769	NoDiff
GABRA4	0.008	8.522	8.01	9.252	0.815	-0.296	0.714	NoDiff
GAD1	0.008	6.07	7.347	4.249	1.791	0.841	0.764	NoDiff
GADD45A	0.416	2.068	2.107	2.014	1.048	0.068	0.02	NoDiff
GAK	0.291	0.073	0.068	0.079	0.86	-0.218	0.688	NoDiff
GALE	0.24	0.403	0.396	0.414	0.957	-0.064	0.206	NoDiff
GALM	0.116	2.406	2.875	1.738	1.754	0.811	0.648	NoDiff
GALNT2	0.395	0.406	0.355	0.48	0.745	-0.424	0.322	NoDiff
GALNT3	0.028	1.901	1.517	2.448	0.601	-0.736	0.734	NoDiff
GAP43	0.004	413.037	690.156	17.896	35.505	5.15	0.98	ExcludedFromTesting
GAR1	0.402	0.324	0.279	0.388	0.71	-0.495	0.392	NoDiff
GAREM2	0.006	6.404	6.391	6.424	0.951	-0.073	0.688	NoDiff
GATAD2B	0.245	0.067	0.06	0.076	0.73	-0.454	0.789	NoDiff
GBA	0.163	0.167	0.243	0.06	3.842	1.942	0.849	ExcludedFromTesting
GBE1	0.233	1.519	1.168	2.019	0.576	-0.795	0.829	NoDiff
GBP1	0.339	1.622	2.106	0.932	2.284	1.191	1	ExcludedFromTesting
GBP2	0.24	2.897	3.926	1.429	2.731	1.45	1	ExcludedFromTesting
GBP3	0.082	0.538	0.791	0.178	4.878	2.286	0.93	NoDiff
GBP4	0.054	4.988	5.237	4.633	1.159	0.212	0.191	NoDiff
GBP5	0.023	4.803	6.961	1.726	3.575	1.838	0.92	NoDiff
GCA	0.389	0.239	0.264	0.204	1.329	0.411	0.392	NoDiff
GCC2	0.776	0.361	0.367	0.352	1.024	0.034	0.025	NoDiff
GCC2-AS1	0.003	13.683	15.204	11.516	1.159	0.213	0.749	NoDiff
GCFC2	0.27	0.244	0.326	0.127	2.487	1.314	0.829	NoDiff
GCLM	0.146	0.593	0.573	0.62	0.94	-0.089	0.402	NoDiff
GCSAM	1.412	0.849	1.061	0.546	1.956	0.968	1	GM12878+
GDAP2	0.095	0.261	0.338	0.152	2.075	1.053	0.729	NoDiff
GDF7	0.005	6.71	8.784	3.754	2.604	1.381	0.849	NoDiff
GEMIN6	0.556	0.099	0.111	0.083	1.455	0.541	0.573	NoDiff
GEN1	0.075	0.556	0.617	0.469	1.305	0.384	0.653	NoDiff
GFI1	0.07	3.209	4.006	2.074	2.017	1.012	0.759	ExcludedFromTesting
GFM1	0.253	0.17	0.14	0.214	0.7	-0.514	0.578	NoDiff
GFPT1	0.327	0.405	0.404	0.405	1.014	0.021	0.196	ExcludedFromTesting
GGCX	0.45	0.05	0.052	0.049	0.864	-0.21	0.693	NoDiff
GGPS1	0.351	0.132	0.169	0.078	2.144	1.1	0.784	NoDiff
GHRL	0.053	0.679	0.832	0.461	1.874	0.906	0.704	NoDiff
GHRLOS	0.009	2.664	2.335	3.132	0.585	-0.774	0.814	NoDiff
GIGYF2	0.388	0.128	0.152	0.095	1.656	0.728	0.648	NoDiff
GIPC2	0.003	22.521	20.341	25.63	0.949	-0.075	0.814	NoDiff
GK5	0.077	0.406	0.316	0.535	0.594	-0.752	0.704	NoDiff
GLB1	0.276	0.224	0.248	0.189	1.234	0.303	0.528	NoDiff
GLB1L	0.025	0.843	0.741	0.988	0.639	-0.647	0.759	NoDiff
GLIS1	0.003	21.384	22.863	19.275	0.899	-0.153	0.96	GM18502+
GLMN	0.113	0.211	0.231	0.183	1.463	0.548	0.764	NoDiff
GLMP	0.355	0.254	0.23	0.288	0.783	-0.353	0.387	NoDiff
GLRX2	0.519	0.122	0.159	0.07	2.214	1.146	0.774	NoDiff
GLS	0.482	0.123	0.116	0.134	0.901	-0.15	0.422	NoDiff
GLT8D1	1.186	0.689	0.696	0.68	1.021	0.03	0	ExcludedFromTesting
GLUL	0.38	4.421	5.669	2.641	2.159	1.111	1	ExcludedFromTesting
GLYCTK	0.199	0.161	0.109	0.236	0.449	-1.156	0.744	NoDiff
GMCL1	0.249	0.148	0.172	0.114	1.53	0.614	0.638	NoDiff
GMEB1	0.163	0.331	0.467	0.136	3.343	1.741	0.869	NoDiff
GMPPA	0.564	0.509	0.47	0.566	0.832	-0.266	0.111	ExcludedFromTesting
GMPPB	0.986	1.002	0.976	1.04	0.947	-0.079	0	ExcludedFromTesting
GMPS	0.416	0.251	0.32	0.153	2.086	1.061	0.814	NoDiff
GNAI2	2.318	0.114	0.111	0.118	0.95	-0.075	0.01	NoDiff
GNAI3	0.714	0.145	0.139	0.155	0.905	-0.145	0.226	NoDiff
GNAT2	0.003	14.699	13.061	17.034	0.879	-0.185	0.749	NoDiff
GNB1	0.869	0.095	0.117	0.065	1.722	0.784	0.663	NoDiff
GNB4	0.035	1.608	1.756	1.397	1.164	0.219	0.598	NoDiff
GNG12	0.003	142.609	229.769	18.33	11.542	3.529	0.945	NoDiff
GNG4	0.003	229.193	379.758	14.504	23.086	4.529	0.96	ExcludedFromTesting
GNG5	5.738	0.068	0.078	0.054	1.435	0.521	0.367	NoDiff
GNL2	0.399	0.169	0.088	0.285	0.322	-1.633	0.915	NoDiff
GNL3	1.474	0.288	0.294	0.279	1.048	0.068	0.01	NoDiff
GNLY	0.023	1123.266	1408.634	716.364	1.911	0.934	0.724	NoDiff
GNPAT	0.547	0.054	0.031	0.086	0.37	-1.436	0.824	NoDiff
GNPDA2	0.16	0.116	0.105	0.132	0.767	-0.383	0.729	NoDiff
GOLGA4	0.823	0.224	0.2	0.259	0.779	-0.36	0.221	NoDiff
GOLGB1	0.77	0.301	0.302	0.299	1.023	0.033	0.04	NoDiff
GOLIM4	0.25	0.461	0.585	0.283	2.125	1.088	0.829	NoDiff
GOLPH3L	0.258	0.497	0.495	0.5	1.014	0.021	0.291	ExcludedFromTesting
GON4L	0.485	0.069	0.083	0.048	1.773	0.827	0.734	NoDiff
GORAB	0.071	0.415	0.319	0.551	0.565	-0.824	0.789	NoDiff
GORASP1	0.062	1.083	1.647	0.279	5.652	2.499	0.96	GM12878+
GORASP2	1.122	0.193	0.207	0.174	1.165	0.22	0.136	NoDiff
GPA33	0.003	15.579	10.886	22.272	0.447	-1.162	0.849	NoDiff
GPAT2	0.051	6.025	10.036	0.305	42.757	5.418	0.955	ExcludedFromTesting
GPAT3	0.01	15.156	16.241	13.609	1.15	0.201	0.462	NoDiff
GPATCH11	0.25	0.479	0.388	0.609	0.602	-0.733	0.603	NoDiff
GPATCH2	0.247	0.077	0.062	0.098	0.702	-0.51	0.729	NoDiff
GPATCH3	0.108	0.139	0.148	0.126	1.245	0.316	0.714	NoDiff
GPATCH4	0.848	0.55	0.596	0.485	1.243	0.314	0.05	NoDiff
GPBP1L1	0.571	0.064	0.05	0.085	0.6	-0.738	0.688	NoDiff
GPC1	0.002	10.772	13.041	7.536	2.081	1.057	0.839	ExcludedFromTesting
GPD1L	0.014	4.237	6.326	1.258	4.941	2.305	0.899	NoDiff
