GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
EDN2	0.002	0.004	0.001	7.318	2.871	1	GM12878+
EEF1B2	38.105	40.246	35.051	1.149	0.2	0	NoDiff
EEFSEC	0.142	0.126	0.166	0.756	-0.403	0.005	NoDiff
EFCAB12	0.006	0.008	0.004	1.806	0.853	0.693	NoDiff
EFCAB14	0.501	0.507	0.492	1.03	0.042	0	NoDiff
EFCAB2	0.057	0.036	0.088	0.414	-1.271	0.99	GM18502+
EFCAB7	0.042	0.049	0.031	1.566	0.647	0.683	NoDiff
EFHB	0.007	0.006	0.009	0.641	-0.642	0.548	NoDiff
EFHD2	1.114	0.98	1.305	0.749	-0.417	0	NoDiff
EFNA1	0.005	0.004	0.005	0.838	-0.256	0.221	NoDiff
EFNA3	0.019	0.017	0.022	0.769	-0.379	0.146	NoDiff
EFNA4	0.116	0.115	0.118	0.971	-0.043	0.06	NoDiff
EFR3B	0.031	0.025	0.041	0.601	-0.736	0.804	NoDiff
EGLN1	0.27	0.213	0.352	0.606	-0.723	1	GM18502+
EGOT	0.023	0.025	0.021	1.202	0.266	0.075	NoDiff
EGR4	0.011	0.009	0.014	0.66	-0.599	0.518	NoDiff
EHBP1	0.105	0.112	0.097	1.148	0.199	0.025	NoDiff
EHD3	0.04	0.05	0.027	1.846	0.884	0.965	GM12878+
EHHADH	0.034	0.044	0.02	2.132	1.093	0.985	GM12878+
EIF1B	1.365	1.34	1.402	0.955	-0.067	0	NoDiff
EIF2A	2.526	2.585	2.442	1.058	0.081	0	NoDiff
EIF2AK2	1.344	1.289	1.423	0.905	-0.143	0	NoDiff
EIF2AK3	0.139	0.172	0.091	1.879	0.91	1	GM12878+
EIF2B3	0.224	0.229	0.216	1.059	0.083	0	NoDiff
EIF2B4	0.213	0.219	0.203	1.082	0.114	0	NoDiff
EIF2B5	0.28	0.274	0.288	0.948	-0.077	0	NoDiff
EIF2D	0.886	0.915	0.845	1.079	0.11	0	NoDiff
EIF3I	4.593	4.451	4.797	0.93	-0.105	0	NoDiff
EIF4A2	3.398	3.37	3.438	0.978	-0.032	0	NoDiff
EIF4E	1.155	1.103	1.23	0.893	-0.163	0	NoDiff
EIF4E2	1.452	1.413	1.508	0.937	-0.094	0	NoDiff
EIF4E3	0.007	0.009	0.003	3.1	1.632	0.98	GM12878+
EIF4G1	0.742	0.738	0.747	0.997	-0.004	0	NoDiff
EIF4G3	0.226	0.196	0.269	0.734	-0.446	0.01	NoDiff
EIF5A2	0.053	0.047	0.063	0.743	-0.429	0.106	NoDiff
EIF5B	2.347	2.23	2.514	0.886	-0.175	0	NoDiff
ELF3	0.01	0.006	0.015	0.396	-1.335	0.985	GM18502+
ELK4	0.256	0.255	0.257	0.992	-0.011	0	NoDiff
ELMOD3	0.247	0.285	0.194	1.471	0.557	0.337	NoDiff
ELOVL1	0.608	0.581	0.647	0.899	-0.154	0	NoDiff
ELOVL6	0.041	0.027	0.06	0.457	-1.131	0.995	GM18502+
ELP6	0.539	0.544	0.533	1.018	0.026	0	NoDiff
EMC1	0.101	0.099	0.104	0.966	-0.05	0.065	NoDiff
EMC3	0.864	0.896	0.819	1.091	0.125	0	NoDiff
EMILIN1	0.007	0.006	0.008	0.832	-0.265	0.206	NoDiff
EML4	0.534	0.544	0.52	1.046	0.065	0	NoDiff
EMX1	0.06	0.076	0.038	1.978	0.984	0.97	GM12878+
ENAM	0.016	0.022	0.007	2.908	1.54	0.995	GM12878+
ENO1	11.751	7.387	17.974	0.411	-1.281	1	GM18502+
ENO1-AS1	0.031	0.028	0.036	0.767	-0.382	0.141	NoDiff
ENOPH1	0.421	0.379	0.48	0.789	-0.341	0	NoDiff
ENSA	3.403	3.087	3.854	0.801	-0.321	0	NoDiff
ENTPD3-AS1	0.113	0.116	0.109	1.072	0.1	0.085	NoDiff
EOGT	0.02	0.02	0.021	0.919	-0.122	0	NoDiff
EPAS1	0.001	0.001	0.003	0.237	-2.078	1	GM18502+
EPB41	0.174	0.225	0.101	2.221	1.151	1	GM12878+
EPB41L5	0.035	0.036	0.034	1.059	0.083	0	NoDiff
EPC2	0.093	0.103	0.079	1.314	0.394	0.025	NoDiff
EPCAM	0.005	0.005	0.005	1.008	0.012	0.211	NoDiff
EPHA4	0.004	0.006	0.001	10.114	3.338	1	GM12878+
EPHB1	0.055	0.07	0.032	2.141	1.098	0.96	GM12878+
EPHB2	0.007	0.009	0.004	2.527	1.337	0.975	GM12878+
EPHX1	0.03	0.031	0.03	1.035	0.05	0.03	NoDiff
EPM2AIP1	0.374	0.394	0.345	1.141	0.191	0	NoDiff
EPRS	1.098	1.244	0.89	1.397	0.482	0	NoDiff
EPS15	0.533	0.548	0.513	1.062	0.087	0	NoDiff
EPT1	0.047	0.045	0.05	0.893	-0.163	0.106	NoDiff
ERCC3	0.179	0.165	0.2	0.83	-0.269	0	NoDiff
EREG	0.004	0.005	0.004	1.058	0.082	0.487	NoDiff
ERI3	0.52	0.484	0.573	0.842	-0.248	0	NoDiff
ERICH3	0.006	0.005	0.006	0.81	-0.304	0.332	NoDiff
ERICH6-AS1	0.081	0.111	0.038	2.903	1.538	0.985	GM12878+
ERLEC1	1.987	2.724	0.938	2.91	1.541	1	GM12878+
ERMAP	0.037	0.041	0.032	1.284	0.361	0.156	NoDiff
ERMN	0.017	0.017	0.016	1.103	0.141	0.015	NoDiff
ERO1B	0.287	0.305	0.262	1.156	0.209	0	NoDiff
ERRFI1	0.019	0.016	0.023	0.698	-0.518	0.357	NoDiff
ESPN	0.001	0.001	0.002	0.362	-1.467	0.97	GM18502+
ESPNL	0.007	0.004	0.013	0.285	-1.81	1	GM18502+
ETAA1	0.102	0.103	0.1	1.011	0.016	0.085	NoDiff
ETV3	0.044	0.044	0.043	1.044	0.063	0.09	NoDiff
ETV3L	0.006	0.007	0.005	1.454	0.54	0.442	NoDiff
ETV5	0.043	0.024	0.069	0.351	-1.51	0.98	GM18502+
EVA1A	0.002	0.001	0.003	0.26	-1.944	1	GM18502+
EVA1B	0.349	0.334	0.37	0.9	-0.153	0	NoDiff
EVC	0.006	0.006	0.006	0.925	-0.112	0.111	NoDiff
EVC2	0.014	0.011	0.017	0.631	-0.664	0.643	NoDiff
EVI5	0.111	0.138	0.073	1.9	0.926	1	GM12878+
EXO1	0.013	0.008	0.021	0.38	-1.394	1	GM18502+
EXO5	0.046	0.032	0.066	0.491	-1.026	1	GM18502+
EXOC1	0.165	0.172	0.155	1.12	0.163	0	NoDiff
EXOC6B	0.017	0.018	0.017	1.041	0.057	0.015	NoDiff
EXOC8	0.042	0.047	0.035	1.315	0.395	0.121	NoDiff
EXOG	0.399	0.401	0.397	1.016	0.023	0	NoDiff
EXOSC10	0.167	0.162	0.175	0.93	-0.105	0	NoDiff
EXOSC7	0.617	0.572	0.68	0.845	-0.243	0	NoDiff
EXTL2	0.133	0.127	0.141	0.897	-0.156	0.136	NoDiff
EYA3	0.24	0.191	0.311	0.608	-0.718	0.975	GM18502+
F11R	0.096	0.091	0.102	0.896	-0.158	0.126	NoDiff
FAAH	0.007	0.005	0.008	0.634	-0.656	0.568	NoDiff
FAAP20	2.004	1.892	2.165	0.873	-0.196	0	NoDiff
FABP3	0.014	0.012	0.017	0.704	-0.505	0.382	NoDiff
FAF1	0.181	0.179	0.185	0.958	-0.061	0	NoDiff
FAHD2A	0.411	0.402	0.424	0.947	-0.079	0	NoDiff
FAHD2B	0.175	0.184	0.163	1.123	0.167	0	NoDiff
FAIM	0.212	0.234	0.181	1.285	0.361	0	NoDiff
FALEC	0.015	0.015	0.014	1.029	0.041	0.08	NoDiff
FAM102B	0.015	0.011	0.021	0.504	-0.989	0.95	NoDiff
FAM114A1	0.056	0.073	0.032	2.297	1.2	0.99	GM12878+
FAM117B	0.038	0.035	0.043	0.817	-0.292	0.04	NoDiff
FAM126B	0.204	0.213	0.19	1.117	0.159	0	NoDiff
FAM129A	0.344	0.415	0.242	1.714	0.777	1	GM12878+
FAM131A	0.027	0.025	0.03	0.838	-0.255	0.03	NoDiff
FAM132A	0.008	0.008	0.008	1.124	0.168	0.136	NoDiff
FAM134A	0.444	0.499	0.367	1.355	0.439	0	NoDiff
FAM136A	1.239	1.206	1.287	0.938	-0.092	0	NoDiff
FAM13A	0.013	0.016	0.01	1.521	0.605	0.528	NoDiff
FAM13A-AS1	0.004	0.004	0.003	1.139	0.187	0.291	NoDiff
FAM159A	0.061	0.071	0.046	1.554	0.636	0.653	NoDiff
FAM161A	0.082	0.061	0.111	0.544	-0.878	0.99	GM18502+
FAM162A	2.219	1.537	3.193	0.48	-1.059	1	GM18502+
FAM167B	0.02	0.014	0.029	0.49	-1.03	0.975	GM18502+
FAM168B	0.176	0.172	0.182	0.948	-0.077	0	NoDiff
FAM171B	0.013	0.01	0.017	0.573	-0.803	0.789	NoDiff
FAM175A	0.185	0.18	0.192	0.95	-0.074	0	NoDiff
FAM177B	0.003	0.003	0.003	1.026	0.037	0.357	NoDiff
FAM184B	0.006	0.004	0.008	0.517	-0.953	0.804	NoDiff
FAM189B	0.182	0.135	0.25	0.541	-0.886	1	GM18502+
FAM193A	0.108	0.112	0.103	1.078	0.108	0.06	NoDiff
FAM200B	0.426	0.437	0.411	1.062	0.087	0	NoDiff
FAM208A	0.206	0.21	0.2	1.046	0.065	0	NoDiff
FAM20B	0.061	0.054	0.071	0.758	-0.401	0.055	NoDiff
FAM212A	0.054	0.032	0.084	0.39	-1.36	1	GM18502+
FAM212B	0.034	0.035	0.033	1.077	0.107	0.095	NoDiff
FAM212B-AS1	0.005	0.005	0.004	1.249	0.321	0.372	NoDiff
FAM213B	0.082	0.061	0.113	0.54	-0.888	1	GM18502+
FAM228B	0.149	0.169	0.121	1.392	0.477	0.106	NoDiff
FAM229A	0.018	0.018	0.017	1.028	0.039	0.02	NoDiff
FAM231D	0.033	0.035	0.03	1.154	0.206	0.035	NoDiff
FAM3D	0.002	0.003	0.002	1.092	0.127	0.286	NoDiff
FAM41C	0.037	0.025	0.053	0.478	-1.063	0.98	GM18502+
FAM43A	0.141	0.124	0.166	0.748	-0.419	0.05	NoDiff
FAM46C	0.29	0.382	0.158	2.408	1.268	1	GM12878+
FAM49A	0.021	0.019	0.023	0.818	-0.29	0.06	NoDiff
FAM53A	0.009	0.007	0.012	0.545	-0.875	0.819	NoDiff
FAM63A	0.057	0.056	0.059	0.962	-0.056	0.101	NoDiff
FAM69A	0.143	0.186	0.082	2.278	1.188	1	GM12878+
FAM72A	0.04	0.041	0.04	1.005	0.008	0.055	NoDiff
FAM72B	0.009	0.006	0.013	0.492	-1.023	0.905	NoDiff
FAM72C	0.007	0.007	0.007	0.95	-0.074	0.161	NoDiff
FAM72D	0.011	0.009	0.015	0.588	-0.767	0.744	NoDiff
FAM73A	0.087	0.09	0.081	1.105	0.144	0.101	NoDiff
FAM76A	0.106	0.112	0.098	1.142	0.191	0.111	NoDiff
FAM78B	0.021	0.019	0.023	0.843	-0.246	0.06	NoDiff
FAM89A	0.025	0.017	0.036	0.468	-1.094	0.99	GM18502+
FAM98A	0.326	0.331	0.318	1.04	0.057	0	NoDiff
FANCD2	0.074	0.068	0.081	0.843	-0.246	0	NoDiff
FANCL	0.144	0.147	0.14	1.057	0.081	0	NoDiff
FARP2	0.104	0.097	0.114	0.851	-0.233	0.136	NoDiff
FARSB	0.314	0.287	0.353	0.813	-0.298	0	NoDiff
FASTKD1	0.197	0.181	0.221	0.817	-0.291	0	NoDiff
FASTKD2	0.173	0.167	0.182	0.924	-0.114	0	NoDiff
FBLIM1	0.005	0.004	0.007	0.517	-0.951	0.739	NoDiff
FBLN2	0.006	0.003	0.009	0.355	-1.494	0.905	NoDiff
FBXL2	0.005	0.003	0.007	0.378	-1.404	0.975	GM18502+
FBXL5	0.195	0.194	0.195	0.985	-0.022	0	NoDiff
FBXO11	0.158	0.158	0.158	1.002	0.003	0	NoDiff
FBXO2	0.019	0.02	0.016	1.261	0.335	0.136	NoDiff
FBXO28	0.168	0.171	0.164	1.041	0.058	0	NoDiff
FBXO36	0.019	0.019	0.019	1.021	0.03	0.01	NoDiff
FBXO41	0.05	0.036	0.07	0.521	-0.942	0.93	NoDiff
FBXO42	0.132	0.132	0.131	1.01	0.014	0	NoDiff
FBXO44	0.122	0.148	0.084	1.765	0.819	0.995	GM12878+
FBXO45	0.062	0.047	0.084	0.555	-0.849	0.98	GM18502+
FBXO48	0.036	0.042	0.027	1.519	0.604	0.543	NoDiff
FBXO6	0.53	0.509	0.56	0.913	-0.132	0	NoDiff
FCAMR	0.002	0.001	0.003	0.264	-1.919	0.98	GM18502+
FCER1G	0.044	0.056	0.027	2.062	1.044	0.945	NoDiff
FCGR2A	0.063	0.077	0.042	1.81	0.856	0.899	NoDiff
FCGR2B	0.89	0.786	1.037	0.755	-0.406	0.005	NoDiff
FCGR3A	0.002	0.002	0.002	1.368	0.452	0.457	NoDiff
FCMR	1.97	1.998	1.93	1.038	0.054	0	NoDiff
FCRL2	0.003	0.002	0.003	0.789	-0.342	0.372	NoDiff
FCRL3	0.003	0	0.007	0.045	-4.472	1	GM18502+
FCRL4	0.052	0.039	0.071	0.562	-0.831	0.915	NoDiff
FCRL5	0.24	0.304	0.148	2.039	1.028	1	GM12878+
FCRLA	3.16	3.393	2.827	1.192	0.253	0	NoDiff
FCRLB	0.11	0.085	0.146	0.587	-0.77	0.97	GM18502+
FDPS	2.972	2.166	4.121	0.526	-0.926	1	GM18502+
FEZ2	0.384	0.387	0.38	1.013	0.018	0	NoDiff
FGD5	0.004	0.005	0.002	1.797	0.846	0.714	NoDiff
FGD5-AS1	0.283	0.291	0.271	1.074	0.103	0	NoDiff
FGFBP2	0.012	0.006	0.02	0.643	-0.637	0.553	NoDiff
FGFRL1	0.004	0.004	0.004	1.155	0.207	0.317	NoDiff
FGGY	0.118	0.115	0.123	0.943	-0.085	0	NoDiff
FGR	0.776	0.757	0.802	0.938	-0.092	0	NoDiff
FH	0.527	0.473	0.603	0.779	-0.361	0	NoDiff
FHIT	0.276	0.313	0.222	1.407	0.492	0.055	NoDiff
FHL2	0.049	0.064	0.028	2.309	1.207	1	GM12878+
FHL3	0.217	0.171	0.283	0.6	-0.737	0.985	GM18502+
FILIP1L	0.033	0.034	0.033	1.037	0.052	0	NoDiff
FIP1L1	0.481	0.479	0.483	0.994	-0.008	0	NoDiff
FKBP1B	0.015	0.011	0.019	0.614	-0.705	0.729	NoDiff
FKBP7	0.06	0.052	0.071	0.723	-0.467	0.176	NoDiff
FLAD1	0.38	0.368	0.395	0.928	-0.108	0	NoDiff
FLJ20021	0.136	0.189	0.061	3.111	1.638	1	GM12878+
FLJ27354	0.051	0.055	0.046	1.223	0.291	0.025	NoDiff
FLJ37453	0.066	0.063	0.071	0.888	-0.172	0.04	NoDiff
FLNB	0.086	0.072	0.107	0.682	-0.551	0.482	NoDiff
FLVCR1	0.148	0.132	0.17	0.775	-0.367	0	NoDiff
FLVCR1-AS1	0.083	0.076	0.093	0.812	-0.3	0.005	NoDiff
FMNL2	0.026	0.017	0.038	0.454	-1.139	0.975	GM18502+
FMO4	0.018	0.016	0.02	0.811	-0.302	0.085	NoDiff
FMO5	0.011	0.011	0.011	0.974	-0.038	0.065	NoDiff
FN1	0.009	0.012	0.005	2.364	1.241	0.975	GM12878+
FNBP1L	0.003	0.003	0.002	1.228	0.296	0.402	NoDiff
FNDC3B	0.378	0.537	0.151	3.557	1.831	1	GM12878+
FO538757.2	0.166	0.168	0.163	1.032	0.045	0	NoDiff
FOSL2	0.01	0.01	0.01	0.99	-0.014	0.065	NoDiff
FOXD2	0.002	0.001	0.003	0.217	-2.204	1	GM18502+
FOXD2-AS1	0.007	0.006	0.008	0.711	-0.491	0.397	NoDiff
FOXD3-AS1	0.005	0.004	0.005	0.848	-0.237	0.216	NoDiff
FOXJ3	0.112	0.116	0.107	1.085	0.118	0	NoDiff
FOXN2	0.101	0.104	0.097	1.071	0.098	0.085	NoDiff
FOXP1	0.042	0.036	0.05	0.724	-0.466	0.347	NoDiff
FPGT	0.086	0.085	0.088	0.965	-0.052	0.085	NoDiff
FPGT-TNNI3K	0.004	0.005	0.003	1.394	0.48	0.452	NoDiff
FRMD4B	0.015	0.016	0.013	1.177	0.235	0.121	NoDiff
FRRS1	0.016	0.015	0.017	0.85	-0.235	0.065	NoDiff
FRYL	0.263	0.253	0.276	0.911	-0.134	0	NoDiff
FSIP2-AS1	0.003	0.003	0.003	1.02	0.029	0.216	NoDiff
FTCDNL1	0.053	0.046	0.061	0.773	-0.371	0.111	NoDiff
FUBP1	0.485	0.478	0.494	0.969	-0.046	0	NoDiff
FUCA1	0.494	0.654	0.266	2.446	1.291	1	GM12878+
FXR1	1.387	1.234	1.606	0.77	-0.377	0	NoDiff
FYCO1	0.02	0.023	0.016	1.357	0.44	0.266	NoDiff
FYTTD1	0.801	0.657	1.005	0.654	-0.612	0.744	NoDiff
FZD5	0.003	0.003	0.004	0.838	-0.255	0.337	NoDiff
FZD7	0.004	0.005	0.003	1.958	0.97	0.764	NoDiff
G0S2	0.032	0.039	0.021	1.817	0.861	0.704	NoDiff
G3BP2	0.634	0.635	0.634	0.995	-0.008	0	NoDiff
GABPB2	0.126	0.128	0.124	1.034	0.049	0	NoDiff
GABRA4	0.008	0.009	0.005	1.629	0.704	0.623	NoDiff
GAD1	0.008	0.009	0.006	1.454	0.54	0.417	NoDiff
GADD45A	0.416	0.371	0.481	0.772	-0.374	0	NoDiff
GAK	0.291	0.299	0.28	1.062	0.087	0	NoDiff
GALE	0.24	0.236	0.246	0.961	-0.057	0	NoDiff
GALM	0.116	0.097	0.141	0.695	-0.524	0.397	NoDiff
GALNT2	0.395	0.449	0.319	1.422	0.508	0.065	NoDiff
GALNT3	0.028	0.027	0.029	0.925	-0.112	0.025	NoDiff
GAP43	0.004	0.006	0.001	5.301	2.406	0.965	GM12878+
GAR1	0.402	0.385	0.427	0.901	-0.15	0	NoDiff
GAREM2	0.006	0.006	0.006	0.871	-0.2	0.176	NoDiff
GATAD2B	0.245	0.244	0.247	0.993	-0.011	0	NoDiff
GBA	0.163	0.201	0.109	1.826	0.868	1	GM12878+
GBE1	0.233	0.23	0.239	0.955	-0.066	0	NoDiff
GBP1	0.339	0.243	0.476	0.509	-0.973	1	GM18502+
GBP2	0.24	0.175	0.332	0.523	-0.934	1	GM18502+
GBP3	0.082	0.079	0.087	0.897	-0.157	0.111	NoDiff
GBP4	0.054	0.054	0.053	1.034	0.048	0	NoDiff
GBP5	0.023	0.022	0.025	0.911	-0.135	0.03	NoDiff
GCA	0.389	0.381	0.4	0.954	-0.067	0	NoDiff
GCC2	0.776	0.896	0.607	1.474	0.56	0.246	NoDiff
GCC2-AS1	0.003	0.003	0.004	0.626	-0.677	0.563	NoDiff
GCFC2	0.27	0.276	0.261	1.057	0.08	0	NoDiff
GCLM	0.146	0.16	0.126	1.261	0.335	0.065	NoDiff
GCSAM	1.412	1.158	1.774	0.651	-0.619	0.774	NoDiff
GDAP2	0.095	0.096	0.095	1.006	0.009	0.045	NoDiff
GDF7	0.005	0.005	0.006	0.853	-0.23	0.236	NoDiff
GEMIN6	0.556	0.482	0.662	0.727	-0.461	0.005	NoDiff
GEN1	0.075	0.079	0.069	1.15	0.202	0.075	NoDiff
GFI1	0.07	0.09	0.042	2.115	1.081	0.965	GM12878+
GFM1	0.253	0.26	0.243	1.066	0.092	0	NoDiff
GFPT1	0.327	0.4	0.223	1.791	0.841	1	GM12878+
GGCX	0.45	0.455	0.442	1.029	0.041	0	NoDiff
GGPS1	0.351	0.359	0.339	1.06	0.085	0	NoDiff
GHRL	0.053	0.051	0.055	0.934	-0.098	0.06	NoDiff
GHRLOS	0.009	0.009	0.009	0.94	-0.089	0.08	NoDiff
GIGYF2	0.388	0.396	0.377	1.053	0.074	0	NoDiff
GIPC2	0.003	0.002	0.003	0.709	-0.496	0.472	NoDiff
GK5	0.077	0.074	0.082	0.901	-0.15	0.065	NoDiff
GLB1	0.276	0.302	0.238	1.276	0.351	0	NoDiff
GLB1L	0.025	0.026	0.023	1.094	0.13	0.015	NoDiff
GLIS1	0.003	0.004	0.003	1.268	0.343	0.668	NoDiff
GLMN	0.113	0.109	0.12	0.908	-0.14	0.116	NoDiff
GLMP	0.355	0.349	0.364	0.959	-0.061	0	NoDiff
GLRX2	0.519	0.529	0.503	1.043	0.06	0	NoDiff
GLS	0.482	0.543	0.394	1.385	0.469	0	NoDiff
GLT8D1	1.186	1.466	0.786	1.858	0.893	1	GM12878+
GLUL	0.38	0.232	0.592	0.394	-1.344	1	GM18502+
GLYCTK	0.199	0.189	0.214	0.886	-0.174	0	NoDiff
GMCL1	0.249	0.25	0.246	1.014	0.021	0	NoDiff
GMEB1	0.163	0.156	0.173	0.9	-0.153	0	NoDiff
GMPPA	0.564	0.705	0.362	1.951	0.964	1	GM12878+
GMPPB	0.986	1.298	0.542	2.399	1.263	1	GM12878+
GMPS	0.416	0.356	0.502	0.711	-0.493	0	NoDiff
GNAI2	2.318	2.14	2.57	0.831	-0.267	0	NoDiff
GNAI3	0.714	0.686	0.755	0.912	-0.133	0	NoDiff
GNAT2	0.003	0.003	0.003	1.079	0.109	0.261	NoDiff
GNB1	0.869	0.768	1.013	0.763	-0.391	0	NoDiff
GNB4	0.035	0.029	0.045	0.653	-0.614	0.653	NoDiff
GNG12	0.003	0.004	0.002	2.134	1.093	0.759	NoDiff
GNG4	0.003	0.004	0.001	7.654	2.936	1	GM12878+
GNG5	5.738	5.509	6.065	0.904	-0.146	0	NoDiff
GNL2	0.399	0.417	0.374	1.109	0.15	0	NoDiff
GNL3	1.474	1.628	1.254	1.296	0.374	0	NoDiff
GNLY	0.023	0.032	0.009	3.623	1.857	0.91	NoDiff
GNPAT	0.547	0.501	0.613	0.817	-0.292	0	NoDiff
GNPDA2	0.16	0.167	0.149	1.119	0.162	0	NoDiff
GOLGA4	0.823	0.883	0.738	1.197	0.259	0	NoDiff
GOLGB1	0.77	0.849	0.657	1.29	0.367	0	NoDiff
GOLIM4	0.25	0.268	0.223	1.187	0.248	0	NoDiff
GOLPH3L	0.258	0.309	0.186	1.66	0.731	0.98	GM12878+
GON4L	0.485	0.506	0.455	1.111	0.152	0	NoDiff
GORAB	0.071	0.08	0.059	1.345	0.428	0.271	NoDiff
GORASP1	0.062	0.059	0.067	0.89	-0.169	0.075	NoDiff
GORASP2	1.122	1.264	0.92	1.365	0.449	0	NoDiff
GPA33	0.003	0.004	0.002	1.561	0.643	0.553	NoDiff
GPAT2	0.051	0.003	0.119	0.024	-5.371	0.985	GM18502+
GPAT3	0.01	0.008	0.013	0.617	-0.698	0.678	NoDiff
GPATCH11	0.25	0.28	0.207	1.359	0.442	0.025	NoDiff
GPATCH2	0.247	0.262	0.224	1.163	0.218	0	NoDiff
GPATCH3	0.108	0.11	0.106	1.03	0.042	0.06	NoDiff
GPATCH4	0.848	0.779	0.945	0.821	-0.284	0	NoDiff
GPBP1L1	0.571	0.544	0.611	0.891	-0.166	0	NoDiff
GPC1	0.002	0.001	0.004	0.186	-2.428	1	GM18502+
GPD1L	0.014	0.014	0.015	0.971	-0.043	0.04	NoDiff
GPD2	0.102	0.122	0.073	1.687	0.755	0.95	NoDiff
GPN1	0.399	0.379	0.427	0.886	-0.175	0	NoDiff
GPN2	0.388	0.363	0.425	0.852	-0.232	0	NoDiff
GPR137B	0.412	0.359	0.487	0.739	-0.435	0.01	NoDiff
GPR15	0.024	0.031	0.015	2.116	1.082	0.985	GM12878+
GPR153	0.006	0.005	0.009	0.498	-1.007	0.899	NoDiff
GPR155	0.256	0.329	0.153	2.152	1.105	1	GM12878+
GPR157	0.037	0.039	0.033	1.191	0.252	0.04	NoDiff
GPR160	2.499	2.764	2.12	1.303	0.382	0	NoDiff
GPR161	0.003	0.003	0.003	1.135	0.182	0.382	NoDiff
GPR171	0.004	0.003	0.006	0.457	-1.131	0.91	NoDiff
GPR35	0.01	0.008	0.013	0.581	-0.782	0.754	NoDiff
GPR52	0.002	0.002	0.002	0.951	-0.072	0.221	NoDiff
GPR55	0.159	0.114	0.224	0.514	-0.959	1	GM18502+
GPR89A	0.188	0.208	0.159	1.298	0.376	0.01	NoDiff
GPR89B	0.183	0.197	0.163	1.203	0.267	0	NoDiff
GPSM2	0.045	0.041	0.05	0.835	-0.259	0.03	NoDiff
GPX1	12.014	10.878	13.634	0.8	-0.323	0	NoDiff
GPX7	0.345	0.355	0.331	1.08	0.111	0	NoDiff
GRAMD1C	0.018	0.02	0.015	1.397	0.482	0.307	NoDiff
GREB1	0.005	0.004	0.006	0.617	-0.697	0.623	NoDiff
GRHL1	0.004	0.004	0.004	1.084	0.116	0.191	NoDiff
GRK4	0.087	0.089	0.085	1.059	0.083	0.085	NoDiff
GRPEL1	0.658	0.609	0.727	0.832	-0.266	0	NoDiff
GRSF1	0.903	0.906	0.897	1.011	0.016	0	NoDiff
GS1-279B7.2	0.004	0.003	0.005	0.745	-0.425	0.347	NoDiff
GSK3B	0.4	0.345	0.479	0.72	-0.474	0.03	NoDiff
GSTCD	0.039	0.031	0.051	0.596	-0.746	0.849	NoDiff
GSTM1	0.028	0.018	0.042	0.431	-1.214	0.995	GM18502+
GSTM2	0.03	0.029	0.032	0.888	-0.171	0.02	NoDiff
GSTM3	0.031	0.036	0.025	1.431	0.517	0.382	NoDiff
GSTM4	0.258	0.28	0.226	1.244	0.315	0	NoDiff
GSTM5	0.005	0.004	0.006	0.618	-0.695	0.603	NoDiff
GTDC1	0.065	0.062	0.069	0.887	-0.172	0.246	NoDiff
GTF2B	0.533	0.605	0.431	1.411	0.496	0.025	NoDiff
GTF2E1	0.091	0.098	0.082	1.182	0.241	0.095	NoDiff
GTF3C2	0.255	0.234	0.285	0.823	-0.281	0	NoDiff
GTF3C2-AS1	0.003	0.003	0.003	1.029	0.042	0.302	NoDiff
GTF3C3	0.187	0.188	0.184	1.027	0.038	0	NoDiff
GTPBP8	0.287	0.336	0.217	1.541	0.624	0.774	NoDiff
GUF1	0.139	0.132	0.148	0.904	-0.146	0.151	NoDiff
GUK1	8.499	8.452	8.564	0.984	-0.023	0	NoDiff
GYG1	0.756	0.924	0.516	1.797	0.846	1	GM12878+
GYPC	3.295	2.662	4.199	0.631	-0.665	1	GM18502+
H1FX	0.779	0.835	0.699	1.193	0.255	0	NoDiff
H1FX-AS1	0.005	0.006	0.004	1.428	0.514	0.492	NoDiff
H2AFZ	7.695	6.985	8.709	0.798	-0.325	0	NoDiff
H3F3A	14.429	14.276	14.648	0.975	-0.036	0	NoDiff
H6PD	0.082	0.084	0.08	1.046	0.065	0.085	NoDiff
HAAO	0.246	0.209	0.3	0.701	-0.512	0.161	NoDiff
HACD2	0.081	0.08	0.081	0.983	-0.024	0.07	NoDiff
HACL1	0.156	0.153	0.16	0.96	-0.059	0	NoDiff
HADH	0.47	0.404	0.564	0.714	-0.485	0.02	NoDiff
HADHA	1.823	1.876	1.749	1.072	0.101	0	NoDiff
HADHB	0.813	0.85	0.761	1.116	0.158	0	NoDiff
HAT1	0.332	0.34	0.32	1.063	0.088	0	NoDiff
HAUS3	0.067	0.059	0.078	0.764	-0.389	0.166	NoDiff
HAX1	2.838	3.125	2.429	1.297	0.375	0	NoDiff
HCLS1	2.206	2.29	2.087	1.101	0.139	0	NoDiff
HCN3	0.009	0.008	0.011	0.774	-0.369	0.221	NoDiff
HDAC1	1.256	1.176	1.37	0.857	-0.223	0	NoDiff
HDAC11	0.01	0.011	0.009	1.138	0.187	0.09	NoDiff
HDAC4	0.02	0.023	0.016	1.434	0.52	0.402	NoDiff
HDGF	0.542	0.467	0.649	0.718	-0.479	0.005	NoDiff
